event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_code,admin_division_name,admin_division_population,longitude,latitude,temp,humidity,wind
12-12-2014 09:00,riverbank_collapse,rain,small,above_river,0,0,US,California,42039,-121.9995,37.8237,10.2,86,1.5
10-05-2016 00:00,other,downpour,small,retaining_wall,0,0,PA,Panamá,69102,-79.4974,9.077,27.6,79,13.2
29-01-2016 00:00,landslide,rain,small,above_road,0,0,CO,Huila,8044,-75.074,2.7664,20.1,58,6.1
31-03-2015 00:00,landslide,construction,medium,above_road,4,0,IN,Uttarakhand,13865,79.8102,30.6145,1.5,78,3.7
29-08-2016 00:00,rock_fall,downpour,medium,above_road,0,0,US,New Mexico,1392,-105.785,35.5722,20.1,26,14.3
05-01-2015 01:00,landslide,rain,medium,above_road,0,0,US,Washington,8726,-123.8975,46.9959,11.9,95,27.3
28-06-2016 00:00,landslide,downpour,small,mine,0,0,IN,Goa,16311,73.8976,15.3455,25.7,93,16
21-08-2015 00:00,landslide,continuous_rain,medium,above_road,0,0,PH,Cordillera,0,120.8246,16.5132,19.6,97,15.9
06-07-2015 00:00,landslide,downpour,medium,above_road,0,0,IN,Uttarakhand,42309,79.4525,29.393,16.2,96,1.8
26-08-2015 00:00,landslide,continuous_rain,medium,below_road,0,0,PA,Chiriquí,0,-82.8232,8.5772,23.9,90,3.2
17-12-2015 00:00,landslide,mining,large,mine,1,0,MM,Sagain,182011,95.5488,22.1306,19.5,86,7.4
28-05-2016 17:00,mudslide,downpour,medium,above_road,0,0,KG,Batken,0,71.5193,40.0076,14.7,70,7.2
27-09-2016 23:00,rock_fall,continuous_rain,medium,deforested_slope,0,0,GH,Eastern,96266,-0.279,6.1699,23.8,92,4.7
14-06-2016 15:00,landslide,downpour,medium,above_road,0,0,GB,England,10830,-1.9953,52.5008,15.3,83,7.2
15-10-2014 00:00,landslide,continuous_rain,medium,above_river,0,0,SV,La Paz,2654,-89.0401,13.5461,25.3,89,4.7
15-09-2015 09:00,mudslide,downpour,small,above_road,0,0,US,California,9083,-117.5833,33.7474,20.7,82,3.1
27-09-2015 00:00,landslide,rain,medium,above_road,0,0,NI,Madriz,1257,-86.6146,13.3864,23,91,1.1
29-09-2016 00:00,landslide,rain,medium,below_road,0,0,CA,British Columbia,2324,-121.859,50.8267,17.1,35,3.5
25-08-2014 09:00,riverbank_collapse,downpour,small,other,3,0,NP,Western Region,200000,83.9557,28.2134,27.5,76,0.4
03-12-2015 00:00,landslide,downpour,large,natural_slope,18,0,ID,Bengkulu,0,101.9801,-3.0414,20.6,95,2.6
13-05-2014 09:30,landslide,rain,small,above_road,0,0,US,Pennsylvania,305704,-80.0017,40.4301,18.4,95,8.7
15-05-2014 09:00,landslide,rain,medium,above_road,0,0,US,New York,1183,-74.4086,42.1633,15.2,90,9.8
09-06-2015 00:00,landslide,continuous_rain,medium,above_road,2,2,IN,Arunachal Pradesh,44971,93.816,27.0987,24.4,96,6.3
12-12-2014 02:00,debris_flow,downpour,medium,burned_area,0,0,US,California,3249,-118.9801,34.1965,17.7,79,16.9
12-03-2016 20:30,rock_fall,rain,medium,above_road,0,0,US,California,11310,-121.4519,39.7958,8.2,89,26.3
06-01-2016 00:00,debris_flow,rain,medium,above_road,0,0,US,California,65201,-119.0169,34.2157,13.4,82,18.6
11-12-2014 09:00,landslide,downpour,small,above_road,0,0,US,California,3353,-122.8275,38.9608,13.1,95,18
21-09-2015 00:00,landslide,downpour,medium,above_road,0,0,CA,British Columbia,2192,-122.6205,50.479,15.1,91,4.1
14-02-2015 09:00,landslide,rain,medium,natural_slope,0,0,US,Hawaii,34597,-157.8224,21.4007,21.7,82,32.9
20-03-2016 00:00,landslide,downpour,medium,natural_slope,3,0,PK,Khyber Pakhtunkhwa,66486,73.202,34.3331,12.1,67,7.9
31-07-2015 09:30,mudslide,downpour,small,deforested_slope,0,0,MY,Penang,140849,100.249,5.2923,30.8,70,3.1
19-01-2014 00:00,riverbank_collapse,tropical_cyclone,medium,below_road,0,0,PH,Caraga,2033,125.9825,9.2424,25,93,34
19-12-2014 15:00,landslide,continuous_rain,small,above_road,0,0,US,California,1620,-122.691,37.9327,15,90,21.7
03-08-2014 09:00,landslide,continuous_rain,small,above_road,0,0,IN,State of Odisha,22264,83.6299,19.1497,25.6,88,2.2
14-12-2015 00:00,landslide,rain,medium,natural_slope,0,0,KE,Vihiga,216479,34.7222,0.0482,17.4,88,5.2
18-10-2016 09:00,mudslide,rain,small,above_road,0,0,US,Washington,6606,-122.2625,47.267,11,93,12.6
20-03-2016 15:00,landslide,downpour,medium,natural_slope,2,0,PK,Khyber Pakhtunkhwa,0,71.7854,36.2063,-16.8,92,1.8
24-11-2015 10:00,rock_fall,mining,small,above_road,0,0,BZ,Cayo,13381,-88.8519,17.2183,23.2,98,4.6
15-05-2014 00:00,landslide,continuous_rain,medium,deforested_slope,0,0,BA,Federation of Bosnia and Herzegovina,5783,17.9324,44.3551,8.2,85,21.9
27-10-2014 09:00,rock_fall,downpour,medium,above_road,0,0,IN,Tamil Nadu,14190,77.6377,10.2379,25.5,76,3.8
21-01-2013 14:00,rock_fall,earthquake,medium,natural_slope,0,0,NZ,West Coast,1187,170.1794,-43.5586,13.9,96,3.2
14-06-2016 00:00,landslide,downpour,medium,above_road,0,0,NP,Eastern Region,17491,87.9125,26.8823,22.6,97,4.8
23-06-2015 23:00,landslide,continuous_rain,small,above_road,0,0,MU,Pamplemousses,3097,57.5716,-20.1999,21.6,93,20.9
01-01-1997 00:00,debris_flow,downpour,medium,above_road,0,0,US,Washington,608660,-122.3807,47.5876,8.1,88,13.9
16-12-2015 00:00,riverbank_collapse,flooding,medium,below_road,0,0,MX,Tabasco,1732,-92.8901,18.2341,29.1,83,7.1
28-09-2016 00:00,mudslide,tropical_cyclone,medium,natural_slope,0,0,CN,Zhejiang,865672,120.6434,27.9547,26.3,92,35.7
14-08-2014 15:00,debris_flow,downpour,small,natural_slope,0,0,US,Nevada,15023,-114.8324,36.0026,29.1,41,16
24-02-2016 04:00,rock_fall,rain,small,above_road,0,0,US,Ohio,1560,-81.9082,38.9519,10,73,13.6
27-12-2014 00:00,landslide,downpour,medium,above_road,0,0,ID,Aceh,24519,95.2701,5.8498,25.1,91,5.8
10-05-2016 00:00,mudslide,rain,small,urban,0,0,PA,Colón,1216,-79.7975,9.3147,27.4,79,10.8
21-07-2015 00:00,landslide,continuous_rain,small,above_road,0,0,IN,Kashmir,37475,77.7559,33.7403,12.1,83,1.3
29-08-2013 09:00,landslide,continuous_rain,medium,mine,1,3,PH,Davao,42563,126.1419759,7.704271157,27.9,84,9.4
01-10-2016 00:00,landslide,earthquake,medium,above_road,0,0,PK,Khyber Pakhtunkhwa,0,73.5206,34.785,8.1,96,5.3
28-12-1998 00:00,debris_flow,downpour,small,above_road,0,0,US,Oregon,1661,-123.6046,45.2419,9.8,98,29.3
25-12-2015 18:00,landslide,mining,medium,mine,5,0,MM,Kachin,90894,97.3668,26.0746,12.2,83,7.9
20-07-2016 14:30,mudslide,downpour,medium,above_road,0,0,US,Colorado,1320,-108.0216,37.9939,16.9,77,3.1
28-01-2016 00:00,landslide,continuous_rain,small,natural_slope,0,0,US,Washington,3036,-123.3754,48.1136,12.9,90,14.8
10-08-2015 23:00,landslide,monsoon,small,above_road,0,0,TH,Phuket,0,98.3819,7.825,,,
20-03-2015 08:00,other,volcano,medium,natural_slope,0,0,CR,Cartago,6784,-83.8542,9.9786,0.9,86,3
11-07-2015 00:00,landslide,continuous_rain,medium,above_road,0,0,IN,Kashmir,80447,75.1447,32.9262,22.9,85,5.4
23-02-2016 23:00,mudslide,downpour,small,above_road,0,0,US,Ohio,5338,-84.4488,39.1224,12.2,62,12.5
03-03-2014 09:00,mudslide,snowfall_snowmelt,large,above_road,0,0,US,Kentucky,6903,-82.5745,37.4285,-1.6,91,16.5
03-10-2016 00:00,landslide,tropical_cyclone,small,urban,2,0,DO,Nacional,8576,-69.9047,18.5084,25.3,99,3.4
31-12-2014 18:00,landslide,rain,medium,mine,0,0,MY,Selangor,69302,101.7342,3.0651,23.5,94,4.9
21-08-2014 23:00,debris_flow,downpour,medium,burned_area,0,0,US,Washington,2370,-120.0646,48.2873,26,38,4.3
29-12-2014 00:00,landslide,tropical_cyclone,medium,below_road,0,0,PH,Central Visayas,2163,123.763,10.4775,25.2,91,34.2
